WeGotEd, delta: 1452
instructables, delta: 602
sans_isc, delta: 90
daveaitel, delta: 834
makerfaire, delta: 1288
xorlgr, delta: 1804
0ph3lia, delta: 3200
anonymouSabu, delta: 87
heidimontag, delta: 74
dinamanzo, delta: 2002
MsPastorino, delta: 3200
AllisonCeglio, delta: 52
IamThunderKat, delta: 204
BunimMurray, delta: 217
Vh1sClarence, delta: 1207
wbruce, delta: 2489
evan, delta: 3200
edavis10, delta: 1400
BirthBabiesBlog, delta: 3200
crossroadsprc, delta: 60
RaSZi, delta: 113
EricMizrachi, delta: 247
gisuser, delta: 803
geogtweets, delta: 1211
HappyGeo, delta: 1199
SubMedina, delta: 206
Geotch, delta: 3200
GeoBlogs, delta: 3200
IndigMapNetwork, zero_statuses
IndigMapNetwork, delta: 3200
normmacdonald, delta: 96
chanjin, delta: 113
FoodPorn, delta: 42
markcoker, delta: 298
ElectricLit, delta: 418
WilliamHarryman, delta: 3200
TianMind, delta: 65
Bodybuildingcom, delta: 600
Fitarella, delta: 3199
Jerry_Remy, delta: 1548
cgrand14, delta: 37
thecreativepenn, delta: 367
WritingPassion, delta: 1659
IdentityTheory, delta: 138
kyle_newman, delta: 46
tubatron, delta: 569
GregYaitanes, delta: 785
derekpike, delta: 1208
ColinTilley, delta: 33
DirectorDrTeeth, delta: 3200
Ernst_and_Young, delta: 389
WolvesHomes, delta: 552
HaltonHousing, delta: 333
nationalandlord, delta: 113
unisonhousing, delta: 433
DavidArchie, delta: 972
ThanMerrill, delta: 474
AGENTLabs, delta: 1096
mediamongu, delta: 1748
OKnox, delta: 927
QtipTheAbstract, delta: 1739
PRODIGYMOBBDEEP, delta: 661
TonyYayo, delta: 1409
LilKim, delta: 33
MistahFAB, delta: 601
BeerSommelier, delta: 2365
badmachinery, delta: 1000
davekellett, delta: 1599
gunnerkrigg, delta: 1399
THESFMARATHON, delta: 1008
sarahstanley, delta: 645
MUBIdotcom, delta: 89
webdice, delta: 672
scriptdreric, delta: 315
davidspies, delta: 401
scripped, delta: 360
UncompletedWork, delta: 3200
elizabethkarr, delta: 405
JLichtenberg, delta: 2400
quicksilverwest, delta: 1346
Julie_Gray, delta: 1802
QuadrilleFood, delta: 1403
Recipe4Living, delta: 934
Jemfyr, delta: 3200
ThoseThr3Words, delta: 613
Jannagae, delta: 140
paradoxicali, delta: 2038
monkeywillow, delta: 3001
tombarrett, delta: 431
TeachersNet, delta: 1406
childcoach, delta: 1004
emeselbee, delta: 2348
iteachgrade2, delta: 118
VeraFBirkenbihl, delta: 1237
jeffcourter, delta: 106
Operation_VAF, delta: 44
SaveChildrenNZ, delta: 1700
ChildrensBoston, delta: 1937
justCarmell, delta: 89
Amanda_vdGulik, delta: 2000
Brian_Howes, delta: 42
subwayfreshbuzz, delta: 3192
ChickfilA, delta: 1168
DunkinDonuts, delta: 113
hiddenboston, delta: 2000
ChiRestaurant, delta: 600
SJRestaurant, delta: 802
DennysGrandSlam, delta: 3145
palm, delta: 38
OneLouderApps, delta: 939
mobileindustry, delta: 200
thedroidguy, delta: 1759
momof4keith, delta: 3200
